# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = ProbAgent_model
# start_datetime = 2026-04-25 19:36:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b53e55bd00.json
# init = 2 (Default)
# random
#   seed = 464448135
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-202604252136-2-17bef8.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/ProbAgent-profile-202604252136-2-2e4eec.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=ProbAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,w_prior
-11.16341,0.96132022,0.4569543,1,3,0,11.449369,0.75488691,-0.53928066,-0.48455811,-0.44772206,-0.53792539,-0.47001001,7,2,4,2,3,7,1,6,5,4,0.10453657,0.59728991
-11.003724,1,0.6437168,1,1,0,11.153156,0.72552852,-0.51584276,-0.47094366,-0.45167734,-0.52294203,-0.48163919,6,1,7,3,5,6,1,5,4,6,0.17799665,0.72470778
-10.779899,0.71380485,0.97696842,2,3,0,13.277233,0.66557804,-0.4702221,-0.45139308,-0.46247864,-0.49671161,-0.51109648,7,4,6,1,3,6,4,5,2,1,0.28930836,0.68675376
-10.663886,0.99374389,0.83129855,2,3,0,10.827775,0.59922819,-0.42334312,-0.44167853,-0.47857739,-0.47406715,-0.55238168,4,5,6,2,7,4,3,6,7,2,0.3652836,0.73660885
-10.663886,0.67384154,1.2391679,1,3,0,11.279734,0.59922819,-0.42334312,-0.44167853,-0.47857739,-0.47406715,-0.55238168,5,3,5,5,2,6,3,1,2,4,0.3652836,0.85754026
-11.123119,0.84338463,0.97419768,2,3,0,11.386676,0.37125139,-0.29381331,-0.49106791,-0.56540742,-0.44105871,-0.76109408,6,2,5,1,4,4,4,8,2,5,0.33685985,0.63703748
-13.274776,0.45404694,1.0734902,1,3,0,13.283405,0.14034858,-0.22227915,-0.65466259,-0.70071995,-0.46809458,-1.0777253,5,6,6,2,6,6,4,7,1,6,-0.32309494,0.3880779
-13.175132,1,0.54911809,3,7,0,13.376057,0.14652819,-0.22324649,-0.64889976,-0.69649182,-0.46666121,-1.0678205,7,4,4,3,5,8,4,4,7,2,-0.28722073,0.71124279
-12.914129,1,0.82378762,3,7,0,13.065745,0.90575653,-0.67069289,-0.60323985,-0.44197117,-0.63990904,-0.44106358,5,3,5,4,1,5,4,5,2,1,-0.66909897,0.66268708
-11.439965,1,1.2310746,1,1,0,12.661144,0.79398977,-0.57159435,-0.50713272,-0.44385218,-0.56020032,-0.45746,8,2,6,2,2,5,4,6,2,4,-0.0187547,0.50454654
-10.652969,1,1.8327683,1,1,0,10.800493,0.55425697,-0.39380781,-0.44168077,-0.49189642,-0.46227805,-0.58542432,6,1,5,2,5,8,2,3,4,2,0.39361996,0.64220045
-10.652969,0.050228394,2.7184309,1,1,0,10.793789,0.55425697,-0.39380781,-0.44168077,-0.49189642,-0.46227805,-0.58542432,2,1,7,4,3,6,3,4,2,4,0.39361996,0.84292644
