# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = WeightedAgent_model
# start_datetime = 2026-04-25 19:46:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 500
#     save_warmup = true
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/7_/txf_yc3n3ws8m_z7jz1j51nr0000gn/T/Rtmppvu42V/standata-168b55517d786.json
# init = 2 (Default)
# random
#   seed = 2026439510
# output
#   file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-202604252146-1-3b82a4.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = 8 (Default)
#   profile_file = /Users/magnusseverin/Documents/GitHub/Advanced_Cognitive_Modeling/Assignment03/src/simmodels/temp/WeightedAgent-profile-202604252146-1-33aab6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=WeightedAgent_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,rho,kappa,weight_direct,weight_social,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,prior_pred.1,prior_pred.2,prior_pred.3,prior_pred.4,prior_pred.5,posterior_pred.1,posterior_pred.2,posterior_pred.3,posterior_pred.4,posterior_pred.5,lprior,rho_prior,kappa_prior,wd_prior,ws_prior
-10.473917,0.70063812,1.0252882,2,3,0,12.186079,0.25508562,1.8404356,0.46946865,1.370967,-1.0780734,-0.26688451,-0.64749221,-0.34985119,-0.14827472,2,5,8,7,7,4,8,6,5,6,-0.71850235,0.67424443,4.7392212,3.1953935,1.5438277
-11.926916,0.65230026,0.82589708,1,3,0,12.27164,0.43561783,5.108798,2.2254835,2.8833145,-1.5095506,-0.034076215,-0.99232596,-0.055449835,-0.15974557,4,7,8,8,5,2,6,7,7,7,-3.227011,0.70557792,1.057181,0.74592355,0.31125741
-11.796506,0.45457436,0.59657993,2,3,0,17.451797,0.70382524,1.8796007,1.3229104,0.5566903,-1.8904709,-0.12827141,-1.7556277,0.37244103,-0.45260193,4,7,8,8,7,1,7,8,8,2,-0.64083184,0.88719185,4.3534384,3.8623351,0.49110332
-11.607974,1,0.27477983,2,3,0,11.831791,0.68505599,1.9990227,1.3694425,0.62958023,-1.8695727,-0.11458074,-1.6999826,0.34802629,-0.43148752,2,8,7,8,8,2,6,8,7,4,-0.66030589,0.54223246,1.6618059,0.90108511,0.7607208
-12.055979,0.79630931,0.44364768,2,3,0,13.471872,0.59000179,4.1748816,2.4631876,1.711694,-1.8478435,-0.018439136,-1.4948996,0.22171583,-0.30462546,1,6,6,8,7,2,8,8,7,5,-2.3655619,0.81684384,1.9255362,1.5728624,0.35267382
-11.19898,0.97728203,0.44858442,2,3,0,12.840053,0.64680485,1.7823684,1.1528445,0.62952387,-1.7438858,-0.12259291,-1.5161808,0.2812361,-0.40391538,5,7,7,7,6,3,4,7,7,5,-0.51496411,0.56624493,2.8558612,1.6171169,1.2387443
-10.664475,1,0.68183262,1,1,0,11.163121,0.5541777,1.4924531,0.82708421,0.66536885,-1.5109171,-0.14274347,-1.1977348,0.13025389,-0.34511975,1,6,8,7,6,2,7,7,8,5,-0.40393482,0.43946303,0.75905801,0.33357794,0.42548008
-10.664475,0.03769071,1.0848035,1,3,0,11.776864,0.5541777,1.4924531,0.82708421,0.66536885,-1.5109171,-0.14274347,-1.1977348,0.13025389,-0.34511975,1,6,8,7,5,2,7,8,6,8,-0.40393482,0.72689136,1.4025396,1.0194939,0.38304567
-10.618666,0.99626027,0.20140853,3,7,0,10.997278,0.56654468,2.110465,1.1956727,0.91479226,-1.6252485,-0.091040942,-1.290001,0.16333344,-0.32294818,3,7,7,8,4,4,7,6,8,6,-0.59088656,0.719335,1.2356184,0.88882357,0.34679485
-10.653127,0.99813396,0.31829793,3,7,0,10.788065,0.57228003,2.1012801,1.2025206,0.89875944,-1.6359993,-0.091679992,-1.3069701,0.17240944,-0.32802812,5,5,7,8,6,4,8,7,8,6,-0.58887265,0.48272223,2.1239761,1.0252905,1.0986856
