trial,Choice_RL,Opponent_RA,Feedback_RL,Feedback_RA,RL_estimated_value_left,RL_estimated_value_right,true_alpha,true_tau,cumulative_rate
36,0,1,0,1,0.5,0.5,0,5,0.4722222222222222
37,1,1,1,0,0.5,0.5,0,5,0.4864864864864865
38,1,0,0,1,0.5,0.5,0,5,0.5
39,0,1,0,1,0.5,0.5,0,5,0.48717948717948717
40,0,1,0,1,0.5,0.5,0,5,0.475
41,1,1,1,0,0.5,0.5,0,5,0.4878048780487805
42,1,1,1,0,0.5,0.5,0,5,0.5
43,0,0,1,0,0.5,0.5,0,5,0.4883720930232558
44,0,1,0,1,0.5,0.5,0,5,0.4772727272727273
45,0,1,0,1,0.5,0.5,0,5,0.4666666666666667
46,0,1,0,1,0.5,0.5,0,5,0.45652173913043476
47,1,0,0,1,0.5,0.5,0,5,0.46808510638297873
48,0,0,1,0,0.5,0.5,0,5,0.4583333333333333
49,1,0,0,1,0.5,0.5,0,5,0.46938775510204084
50,0,0,1,0,0.5,0.5,0,5,0.46
51,1,1,1,0,0.5,0.5,0,5,0.47058823529411764
52,0,0,1,0,0.5,0.5,0,5,0.46153846153846156
53,0,1,0,1,0.5,0.5,0,5,0.4528301886792453
54,1,1,1,0,0.5,0.5,0,5,0.46296296296296297
55,1,1,1,0,0.5,0.5,0,5,0.4727272727272727
56,0,1,0,1,0.5,0.5,0,5,0.4642857142857143
57,1,0,0,1,0.5,0.5,0,5,0.47368421052631576
58,1,1,1,0,0.5,0.5,0,5,0.4827586206896552
59,1,1,1,0,0.5,0.5,0,5,0.4915254237288136
60,1,1,1,0,0.5,0.5,0,5,0.5
61,0,0,1,0,0.5,0.5,0,5,0.4918032786885246
62,1,1,1,0,0.5,0.5,0,5,0.5
63,1,1,1,0,0.5,0.5,0,5,0.5079365079365079
64,1,1,1,0,0.5,0.5,0,5,0.515625
65,0,0,1,0,0.5,0.5,0,5,0.5076923076923077
66,0,0,1,0,0.5,0.5,0,5,0.5
67,1,1,1,0,0.5,0.5,0,5,0.5074626865671642
68,0,1,0,1,0.5,0.5,0,5,0.5
69,0,1,0,1,0.5,0.5,0,5,0.4927536231884058
70,1,1,1,0,0.5,0.5,0,5,0.5
71,1,1,1,0,0.5,0.5,0,5,0.5070422535211268
72,1,0,0,1,0.5,0.5,0,5,0.5138888888888888
73,0,1,0,1,0.5,0.5,0,5,0.5068493150684932
74,0,1,0,1,0.5,0.5,0,5,0.5
75,0,1,0,1,0.5,0.5,0,5,0.49333333333333335
76,0,0,1,0,0.5,0.5,0,5,0.4868421052631579
77,1,1,1,0,0.5,0.5,0,5,0.4935064935064935
78,0,0,1,0,0.5,0.5,0,5,0.48717948717948717
79,1,1,1,0,0.5,0.5,0,5,0.4936708860759494
80,0,1,0,1,0.5,0.5,0,5,0.4875
81,0,0,1,0,0.5,0.5,0,5,0.48148148148148145
82,1,0,0,1,0.5,0.5,0,5,0.4878048780487805
83,0,1,0,1,0.5,0.5,0,5,0.4819277108433735
84,1,1,1,0,0.5,0.5,0,5,0.4880952380952381
85,0,0,1,0,0.5,0.5,0,5,0.4823529411764706
86,0,1,0,1,0.5,0.5,0,5,0.47674418604651164
87,0,1,0,1,0.5,0.5,0,5,0.47126436781609193
88,0,1,0,1,0.5,0.5,0,5,0.4659090909090909
89,0,1,0,1,0.5,0.5,0,5,0.4606741573033708
90,0,1,0,1,0.5,0.5,0,5,0.45555555555555555
91,0,1,0,1,0.5,0.5,0,5,0.45054945054945056
92,0,0,1,0,0.5,0.5,0,5,0.44565217391304346
93,1,1,1,0,0.5,0.5,0,5,0.45161290322580644
94,1,1,1,0,0.5,0.5,0,5,0.4574468085106383
95,1,0,0,1,0.5,0.5,0,5,0.4631578947368421
96,0,1,0,1,0.5,0.5,0,5,0.4583333333333333
97,0,1,0,1,0.5,0.5,0,5,0.4536082474226804
98,0,1,0,1,0.5,0.5,0,5,0.4489795918367347
